Transaction Date,Post Date,Description,Category,Type,Amount
09/05/2024,09/06/2024,SAN MARTIN PLAZA MADERO,Food & Drink,Sale,-1.41
09/04/2024,09/06/2024,Tigo Guatemala,Bills & Utilities,Sale,-84.84
09/05/2024,09/06/2024,NETFLIX.COM,Bills & Utilities,Sale,-7.66
09/04/2024,09/06/2024,POLLO CAMPERO 686 PL BARB,Food & Drink,Sale,-20.73
09/03/2024,09/04/2024,GASOLINERA EL CERINAL,Gas,Sale,-38.86
09/03/2024,09/04/2024,LA CAJA,Entertainment,Sale,-102.98
09/03/2024,09/04/2024,TNTWARE,Shopping,Sale,-30.00
09/02/2024,09/04/2024,SUPER LA TORRE MADERO -VN,Groceries,Sale,-64.25
09/03/2024,09/04/2024,GLOBAL SPORTS CORPORATION,Entertainment,Sale,-128.89
09/03/2024,09/03/2024,Payment Thank You-Mobile,,Payment,595.96
09/02/2024,09/03/2024,SPORTA GUATEMALA,Entertainment,Sale,-68.01
09/02/2024,09/03/2024,SPORTA GUATEMALA,Entertainment,Sale,-68.01
09/02/2024,09/03/2024,SAN MARTIN PLAZA MADERO,Food & Drink,Sale,-11.66
08/31/2024,09/02/2024,DEL GRIEGO,Food & Drink,Sale,-30.05
09/01/2024,09/02/2024,MAXI DESPENSA BARBERENA,Groceries,Sale,-9.21
08/29/2024,09/01/2024,CAFE BARISTA CB143 BARBER,Food & Drink,Sale,-19.43
08/29/2024,09/01/2024,SUPER LA TORRE MADERO -VN,Groceries,Sale,-242.47
08/31/2024,09/01/2024,PROTON AG,Professional Services,Sale,-8.99
08/29/2024,09/01/2024,DOMINOS BARBERENA,Food & Drink,Sale,-5.18
08/29/2024,09/01/2024,DOLLARCITY PLZ BARBERENA,Home,Sale,-1.42
08/28/2024,08/29/2024,SUPERMERCADOS LA TORRE BA,Groceries,Sale,-9.55
08/26/2024,08/28/2024,SUPER LA TORRE MADERO -VN,Groceries,Sale,-48.22
08/26/2024,08/27/2024,GASOLINERA EL CERINAL,Gas,Sale,-38.81
08/23/2024,08/25/2024,MAXI DESPENSA BARBERENA,Groceries,Sale,-1.23
08/23/2024,08/25/2024,PAIZ FRAIJANES,Groceries,Sale,-15.62
08/23/2024,08/25/2024,SUPER LA TORRE MADERO -VN,Groceries,Sale,-63.89
08/22/2024,08/25/2024,SUPER LA TORRE MADERO -VN,Groceries,Sale,-86.69
08/22/2024,08/25/2024,PRICESMART FOOD COURT FRA,Shopping,Sale,-7.38
08/23/2024,08/25/2024,SAN MARTIN PLAZA MADERO,Food & Drink,Sale,-2.26
08/23/2024,08/23/2024,Payment Thank You-Mobile,,Payment,566.68
08/22/2024,08/23/2024,CEMACO CARRETERA A EL SAL,Home,Sale,-5.56
08/19/2024,08/21/2024,MEYKOS PLAZA MADERO CAES,Health & Wellness,Sale,-120.68
08/19/2024,08/21/2024,PRICESMART FRAIJANES,Shopping,Sale,-212.40
08/19/2024,08/20/2024,SAN MARTIN PLAZA MADERO,Food & Drink,Sale,-18.63
08/17/2024,08/19/2024,CENTRO COM PRADERA CONCEP,Travel,Sale,-1.94
08/17/2024,08/19/2024,PANADERIA SAN MARTIN COND,Food & Drink,Sale,-3.49
08/17/2024,08/18/2024,ZARA PRADERA CAES,Shopping,Sale,-103.33
08/15/2024,08/16/2024,MCDONALDS BARBERENA,Food & Drink,Sale,-5.05
08/12/2024,08/12/2024,Payment Thank You - Web,,Payment,479.33
08/10/2024,08/12/2024,CENTRO COM PRADERA CONCEP,Travel,Sale,-1.94
08/10/2024,08/12/2024,ANAIS PRADERA CONCEPCION,Shopping,Sale,-68.48
08/10/2024,08/12/2024,BEAUTY ACTIVE 14 CORIUM,Shopping,Sale,-25.71
08/11/2024,08/12/2024,MAXI DESPENSA BARBERENA,Groceries,Sale,-5.03
08/10/2024,08/11/2024,GNC PRADERA CAES N3,Groceries,Sale,-5.36
08/10/2024,08/11/2024,COFFEE STORE 502,Food & Drink,Sale,-1.94
08/09/2024,08/11/2024,COLEGIO CAMPO VERDE     -,Education,Sale,-119.58
08/10/2024,08/11/2024,PLATA BUENOS AIRES PRADER,Shopping,Sale,-10.34
08/08/2024,08/11/2024,PRICESMART FRAIJANES,Shopping,Sale,-86.78
08/10/2024,08/11/2024,MAXI DESPENSA BARBERENA,Groceries,Sale,-3.06
